CASEID,recid,wght_per,wght_csp,wght_snt,spltsmpl,whw120gr,whw_230,whw_240,jsr_01gr,jsr_02,jsr_03,jsr_04,jsr_05,jsr_06,jsr_07,jsr_08,jsr_09,jsr_10,wir_01,wir_02,wir_03,wir_04,wir_05,wir_06,wir_07,heh_01,heh_02,heh_03,heh_04,heh_09,heh_10,heh_11,drr_110,smk_05,srh_110,srh_115,fam_03,fam_04,smg_01,smg_02,ttlincg2,famincg2
    1,    1, 1388.4301, 2051.1482,    0.0000,2,3, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 5, 2, 0,2,4, 5,3,3,2,2,1,1,96,2,5
    2,    2,  883.7773,    0.0000, 1591.8291,1,3, 1,6,6,2,96,2,6,6,2,2,1,1,2,3,2,3,3,1,2,4, 2, 5, 2,98,5,6, 6,1,3,4,6,6,3, 6,4,4
    3,    3,  362.3344,  609.9090,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 1, 1, 0,5,6, 7,3,2,1,6,6,1,96,2,2
    4,    4, 1851.6844, 4415.0486,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 5, 3, 2,2,1, 6,3,4,2,2,1,3, 6,1,3
    5,    5, 5425.0386,10207.6590,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,3,2,5,1,1,1,1,2,1,2,1, 6,96,96,96,6,6, 7,3,3,1,6,6,2, 6,1,2
    6,    6, 1950.0595,    0.0000, 3499.4663,1,3, 8,2,1,6,96,2,6,6,6,6,2,2,3,3,1,6,6,1,6,2, 3, 5, 4, 1,4,2, 4,3,2,2,2,2,4, 2,5,6
    7,    7,  243.9423,  512.1013,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,2,2,2,1,1,2,1,3,1,1,1, 3, 5, 3,13,2,3, 7,3,2,2,6,6,3, 2,4,4
    8,    8, 1906.9227, 3729.6664,    0.0000,2,3, 1,6,6,2,96,2,6,6,3,3,2,2,2,2,2,3,3,2,1,2, 2, 5, 4, 0,4,4, 4,3,3,4,1,2,3, 3,5,6
    9,    9, 2851.9172,    0.0000, 4601.0671,1,4,98,6,6,2,96,2,6,6,1,2,2,2,4,2,1,3,5,1,1,2, 5, 3, 3, 0,5,6, 4,3,2,2,6,6,4, 5,1,4
   10,   10, 7052.0922,14773.3372,    0.0000,2,3, 1,6,6,1,96,2,6,6,1,1,1,2,2,2,1,3,5,2,1,3, 6,96,96,96,6,6, 7,3,3,1,1,1,3, 3,2,6
   11,   11,  240.3204,    0.0000,  463.0704,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 3, 3, 4, 1,5,6, 3,3,2,2,6,6,3, 7,2,2
   12,   12,  600.7242,    0.0000, 1502.8332,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 3, 5, 2, 3,3,3, 7,3,3,3,1,1,2, 2,2,2
   13,   13, 5172.4044,    0.0000, 9256.4362,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 5, 5, 3, 3,1,3, 7,3,3,3,2,2,4, 4,1,4
   14,   14,  458.8399,  989.7889,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,2,2,2,2,1,2,1,5,1,1,3, 5, 5, 4, 0,5,6, 5,3,3,3,2,2,2, 1,3,5
   15,   15, 1266.6496, 2424.3495,    0.0000,2,3, 1,6,6,1,96,2,6,6,1,1,2,1,2,1,1,1,3,1,1,2, 2, 2, 1, 3,5,6, 2,2,2,1,1,1,3, 1,4,6
   16,   16,  315.8262,    0.0000,  523.8814,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 5, 3, 3, 0,4,4, 6,3,3,2,6,6,1,96,2,2
   17,   17, 3092.0364,    0.0000, 6375.8006,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 5, 6, 1,3,5, 7,3,2,3,2,1,3,97,1,3
   18,   18,  491.8486,  893.5527,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 5, 4, 0,3,4, 6,3,2,2,1,2,2, 7,1,2
   19,   19, 1934.3269, 3336.6221,    0.0000,2,3, 1,6,6,2,96,2,6,6,1,4,2,1,2,1,2,3,5,1,1,3, 3, 5, 1, 2,4,3, 2,3,2,2,4,3,3, 1,5,6
   20,   20, 1000.7205,    0.0000, 3244.5277,1,3, 1,6,6,2,96,2,6,6,2,1,1,1,1,3,3,1,3,1,2,1, 5, 4, 1, 0,1,4, 5,3,1,1,2,2,1,96,1,2
   21,   21,  792.8688,    0.0000, 1208.6868,1,4, 6,9,6,1,96,2,6,6,1,1,1,1,1,2,2,1,5,1,1,5, 1, 5, 1, 0,2,2, 7,3,2,1,6,6,2, 7,4,4
   22,   22,  650.9675,    0.0000, 1800.8970,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 5, 3, 3, 0,5,6, 6,3,5,3,2,3,4, 2,1,2
   23,   23,  157.5741,  327.5030,    0.0000,2,1, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 5, 3, 5, 1,4,5, 4,3,4,3,2,2,2, 2,2,5
   24,   24,  824.1846, 1849.0135,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 6,96,96,96,6,6, 1,3,3,3,1,3,2,98,2,2
   25,   25, 3350.7359,    0.0000, 6949.8552,1,3, 4,2,1,6,96,2,6,6,6,6,2,2,2,2,2,6,6,1,6,2, 2, 1, 1, 0,4,3, 6,3,1,2,4,2,3, 1,6,6
   26,   26,  208.6460,    0.0000,  326.3865,1,3, 1,6,6,3,96,2,6,6,2,4,3,2,2,3,3,4,4,1,1,3, 2, 5, 1, 1,2,3, 5,3,3,2,2,3,4, 2,2,2
   27,   27, 1223.7422,    0.0000, 1853.8855,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 3, 1, 1,3,4, 5,3,2,2,4,3,3, 3,1,6
   28,   28,  765.1167, 1656.3336,    0.0000,2,3, 1,6,6,5, 6,2,6,6,5,5,4,2,5,2,2,5,5,1,2,3, 2, 5, 3, 0,4,5, 5,3,3,5,2,2,4, 1,2,5
   29,   29, 2054.7127,    0.0000, 4520.2957,1,3, 1,6,6,2,96,2,6,6,2,2,2,2,3,3,2,2,3,1,1,3, 3, 1, 1, 4,4,3, 6,3,3,2,3,3,3, 1,3,6
   30,   30, 2601.4971,    0.0000, 5258.3859,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 5, 3, 1, 0,5,6, 7,3,3,3,1,1,3, 2,1,2
   31,   31, 5098.9558,    0.0000, 8346.4686,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 3, 5, 3, 3,3,4, 7,3,4,3,1,1,1,96,3,3
   32,   32,  745.0198,    0.0000, 1405.0103,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 3, 4, 2,4,4, 5,1,3,1,6,6,2, 3,2,2
   33,   33,  592.2390,    0.0000, 1349.1513,1,3, 1,6,6,2,96,2,6,6,2,2,3,2,1,2,2,1,2,1,1,2, 2, 5, 4, 5,4,4, 5,3,2,1,3,3,2, 3,3,5
   34,   34, 1086.3567, 2247.9211,    0.0000,2,3, 1,6,6,2,96,7,6,6,1,5,3,1,4,1,1,1,5,1,2,1, 5, 5, 3, 0,5,6, 7,1,3,2,2,1,1,96,1,1
   35,   35,  808.5529, 2023.1849,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 5, 5, 1, 0,3,1, 5,3,2,1,1,1,1,96,2,6
   36,   36,  571.9139,    0.0000, 1347.3753,1,3, 2,6,6,2,96,2,6,6,2,2,2,1,1,1,1,1,3,1,2,3, 2, 3, 1, 4,1,1, 6,3,2,2,6,6,3, 1,3,3
   37,   37, 3004.0294,    0.0000, 5612.6721,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 5, 4, 0,4,2, 3,3,2,2,2,2,2, 1,1,2
   38,   38,  580.5233,    0.0000,  953.6962,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 5, 1, 0,4,3, 3,3,2,3,2,2,2, 2,6,6
   39,   39, 2563.8390, 4088.3046,    0.0000,2,4, 1,6,6,1,96,2,6,6,1,1,1,2,2,2,2,2,2,1,1,2, 3, 5, 1, 0,3,4, 2,3,3,2,2,2,3, 5,4,6
   40,   40, 1037.2615,    0.0000, 2169.5436,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 6,96,96,96,6,6, 7,3,1,1,6,6,1,96,6,6
   41,   41, 2692.1101, 5164.3353,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,2,2,1,1,3,3,1,5,1,2,2, 4, 2, 5, 0,4,4, 6,3,1,1,6,6,2, 2,2,2
   42,   42, 1625.8488, 3662.3481,    0.0000,2,3, 1,6,6,2,96,2,6,6,1,2,2,2,3,1,3,1,3,2,2,4, 3, 1, 1, 0,5,6, 5,1,3,3,6,6,3, 3,2,2
   43,   43,  177.9094,    0.0000,  322.7369,1,4, 1,6,6,2,96,2,6,6,2,3,2,2,2,3,1,2,4,1,2,3, 1, 3, 1, 0,3,3, 5,3,3,3,6,6,3, 5,3,3
   44,   44,  637.6834, 1869.4933,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 5, 5, 3, 0,5,6, 7,1,4,2,6,6,1,96,2,2
   45,   45, 2997.5252, 6109.0888,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 5, 3, 0,3,5, 7,3,3,3,2,2,4, 6,1,5
   46,   46,  851.1067, 1502.0061,    0.0000,2,3, 4,1,6,2,96,2,6,6,2,2,2,1,3,4,2,3,5,1,2,5, 4, 5, 1,10,4,3, 5,3,2,1,9,9,3, 5,3,6
   47,   47,  541.9646, 1104.2453,    0.0000,2,3, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 5, 3, 0,3,3, 5,3,3,3,2,2,2, 7,3,3
   48,   48,  448.7599,    0.0000, 1002.0600,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 6,96,96,96,6,6, 6,3,4,4,2,2,4, 2,1,5
   49,   49, 2504.5238, 3532.9327,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 2, 1, 1, 0,3,3, 4,3,4,1,1,1,3, 3,2,2
   50,   50, 1389.8172,    0.0000, 2668.1129,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5, 6,96,96,96,6,6, 6,2,4,4,6,6,4, 2,1,1
   51,   51, 1474.3381, 3278.1466,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 5, 5, 4, 0,5,6, 1,3,1,3,1,1,3, 7,1,4
   52,   52, 2376.9240, 5432.6700,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 2, 3, 3, 0,7,6, 2,3,2,3,4,1,4, 3,2,2
   53,   53, 1258.4550,    0.0000, 2504.1351,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 1, 4, 1,3,5, 3,3,3,1,2,1,1,96,2,5
   54,   54, 1655.0714,    0.0000, 2937.8093,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 3, 3, 0,3,5, 3,3,3,1,2,2,2, 7,1,2
   55,   55,   74.3799,    0.0000,  129.3631,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 4, 3, 3, 2,5,6, 6,1,4,2,6,6,3, 3,1,1
   56,   56, 1657.5521, 3528.4309,    0.0000,2,3, 1,6,6,1,96,2,6,6,3,2,2,2,2,2,2,2,4,1,1,2, 2, 5, 4, 0,5,6, 3,3,3,3,3,3,2, 3,5,6
   57,   57,   91.9775,    0.0000,  220.3565,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 3, 4, 1,3,4, 6,3,3,3,6,6,2, 2,2,2
   58,   58,  446.7152, 1040.2169,    0.0000,2,4, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 3, 5, 4, 0,3,4, 2,3,2,2,3,3,3, 1,4,6
   59,   59, 5412.7335,    0.0000, 9596.9143,1,3, 1,6,6,2,96,2,6,6,2,2,5,1,3,3,4,1,4,2,2,3, 5, 5, 3, 4,4,4, 6,3,5,3,5,4,3, 3,1,3
   60,   60, 1085.7491,    0.0000, 2258.0744,1,3, 1,6,6,1,96,2,6,6,1,1,2,2,3,2,1,2,4,1,1,3, 3, 5, 3, 2,4,3, 4,3,3,2,1,1,3, 1,2,6
   61,   61,  471.7819,  754.3860,    0.0000,2,1, 1,6,2,6,96,2,6,6,6,6,1,1,2,2,4,6,6,1,6,3, 3, 5, 1, 0,5,6, 6,3,2,3,2,2,1,96,2,4
   62,   62,  611.5753, 1080.7534,    0.0000,2,3, 1,6,6,1,96,2,6,6,1,1,1,1,1,1,2,1,4,1,1,3, 3, 5, 1, 0,3,3, 7,3,3,2,1,1,2, 5,4,5
   63,   63, 2770.9883, 7744.2964,    0.0000,2,3, 8,1,6,1,96,2,6,6,1,1,2,1,1,1,1,1,3,1,2,2, 4, 5, 3, 0,4,5, 3,3,2,2,1,1,4, 1,2,6
   64,   64,  608.9109,    0.0000, 1148.6630,1,4, 1,6,6,2,96,2,6,6,2,2,3,3,4,1,1,5,5,1,1,3, 4, 5, 1, 0,4,2, 4,3,3,3,2,4,4, 1,3,5
   65,   65, 2066.1051,    0.0000, 4884.7628,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 5, 5, 1, 0,4,5, 5,3,4,4,1,2,2, 3,2,3
   66,   66,  806.5259, 2090.8710,    0.0000,2,3, 3,6,6,2,96,1,2,1,2,3,3,3,3,5,2,3,5,1,2,3, 2, 3, 1, 2,4,5, 5,1,2,4,2,1,3, 2,2,4
   67,   67,  300.2977,  654.2001,    0.0000,2,3, 1,6,6,1,96,1,3,6,1,2,2,2,1,1,1,2,4,1,1,3, 4, 5, 3, 1,5,6, 6,3,4,2,2,2,3, 7,5,6
   68,   68, 2206.4835,    0.0000, 5008.6275,1,3, 1,6,6,1,96,2,6,6,2,2,2,2,2,1,3,2,5,1,2,3, 5, 5, 1, 0,4,5, 7,3,2,2,2,1,3, 2,2,3
   69,   69,  368.8599,  477.0103,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 5, 3, 3, 0,5,6, 6,3,2,2,6,6,1,96,1,1
   70,   70, 2002.3101,    0.0000, 5206.6088,1,2, 4,1,6,2,96,1,1,3,1,2,2,2,1,1,3,2,4,2,1,1, 2, 3, 1,10,2,3, 5,3,1,1,1,1,4, 4,1,6
   71,   71, 4243.1693, 7469.6960,    0.0000,2,4, 1,6,6,2,96,2,6,6,2,2,2,1,1,3,2,1,4,1,1,4, 2, 3, 1, 3,4,4, 3,1,2,3,3,2,4, 2,1,2
   72,   72, 1387.0899, 2708.6603,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 5, 5, 3, 2,4,4, 3,3,2,1,1,1,1,96,2,5
   73,   73, 4429.6007,    0.0000, 6887.3793,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 1, 3, 0,2,5, 6,3,3,1,1,2,1,96,1,2
   74,   74, 1155.5998, 1679.6165,    0.0000,2,3, 1,6,6,1,96,2,6,6,2,2,1,1,3,1,3,1,4,1,2,2, 2, 2, 1, 5,2,4, 6,1,2,2,6,6,2, 3,2,2
   75,   75,  347.1216,    0.0000,  818.5144,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 5, 5, 3, 2,3,4, 1,3,4,3,2,2,2, 6,2,3
   76,   76,  180.9441,  410.6370,    0.0000,2,3, 1,6,1,6,96,2,6,6,6,6,1,1,1,1,3,6,6,1,6,2, 5, 5, 3, 2,4,2, 5,2,1,1,9,9,2, 2,2,2
   77,   77, 1273.1823,    0.0000, 3212.2049,1,3, 1,6,6,1,96,2,6,6,1,2,2,1,1,1,2,2,2,1,1,1, 2, 5, 3, 1,7,6, 1,3,1,1,1,1,3, 1,6,6
   78,   78, 2796.2089,    0.0000, 5484.2336,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 5, 3, 0,5,6, 4,3,2,1,2,1,1,96,3,4
   79,   79,   72.8232,    0.0000,  174.7140,1,4, 8,1,6,1,96,2,6,6,2,4,3,3,3,2,3,2,4,1,2,2, 3, 5, 4, 6,3,4, 4,3,2,2,6,6,1,96,6,6
   80,   80,  243.0429,  516.8278,    0.0000,2,1, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 3, 5, 4, 0,4,5, 7,3,2,3,6,6,2,97,1,1
   81,   81,  979.8726,    0.0000, 1998.8066,1,3, 1,6,6,3,96,2,6,6,2,2,1,1,1,1,2,1,4,1,2,7,97,96,97,97,7,6,97,7,7,7,9,9,7,97,3,6
   82,   82, 3254.8047,    0.0000, 5731.0769,1,2, 4,1,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 6,96,96,96,6,6, 6,3,2,1,9,9,2, 5,1,3
   83,   83, 5151.7547,    0.0000, 8492.2776,1,3, 1,6,6,4, 2,1,5,1,5,5,3,1,3,3,1,1,3,2,2,4, 3, 5, 3, 1,3,3, 4,3,4,3,3,4,5, 3,3,6
   84,   84,  632.3896, 1118.1275,    0.0000,2,2, 1,6,1,6,96,2,6,6,6,6,1,1,1,1,3,6,6,2,6,1, 2, 2, 4, 0,3,1, 3,3,1,1,9,9,2, 3,3,3
   85,   85,  998.7911, 2160.5332,    0.0000,2,3, 1,6,6,1,96,2,6,6,1,1,1,1,1,1,3,1,3,1,2,2, 4, 5, 4, 1,3,3, 4,3,1,1,1,1,1,96,2,5
   86,   86,  367.4224,    0.0000,  858.5141,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 5, 3, 6, 0,5,6, 5,3,1,2,6,6,4, 2,2,2
   87,   87,   86.5201,    0.0000,  138.9962,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 5, 4, 0,5,6, 6,3,2,2,6,6,3, 2,2,2
   88,   88, 1204.9462, 4049.5885,    0.0000,2,4, 1,6,2,6,96,2,6,6,6,6,2,1,1,1,2,6,6,1,6,1, 6,96,96,96,6,6, 5,3,2,1,4,2,3, 7,1,2
   89,   89,  429.2312,    0.0000,  837.1200,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 2, 1, 0,3,3, 7,3,3,3,6,6,2, 3,4,4
   90,   90, 1597.7398,    0.0000, 3843.9691,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 5, 1, 4, 1,2,3, 6,3,2,1,2,2,1,96,2,3
   91,   91,  706.3983, 2107.3963,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 5, 4, 0,4,4, 2,3,4,2,6,6,3, 3,3,3
   92,   92,  833.3623, 1679.6774,    0.0000,2,3, 1,6,6,2,96,2,6,6,3,2,3,1,1,3,3,4,4,1,2,2, 4, 5, 4, 3,1,3, 4,3,2,2,9,9,3, 7,3,6
   93,   93, 1452.1436, 2765.1739,    0.0000,2,3, 1,6,6,1,96,2,6,6,2,2,2,1,2,2,1,2,4,1,2,3, 1, 3, 1, 4,3,3, 5,1,3,2,2,2,4, 2,3,6
   94,   94, 1581.2267, 2417.3465,    0.0000,2,1, 1,6,6,2,96,2,6,6,2,2,1,1,1,1,2,1,4,2,1,3, 4, 5, 4, 0,4,3, 4,3,3,3,1,1,3, 2,1,6
   95,   95,  310.8010,    0.0000,  554.9795,1,4, 1,6,6,2,96,2,6,6,2,2,2,1,1,1,4,1,2,1,2,3, 2, 1, 5, 2,3,5, 3,3,3,1,9,9,2, 3,2,4
   96,   96,  144.9086,    0.0000,  241.8650,1,3, 1,6,6,1,96,2,6,6,1,1,1,1,3,3,3,1,5,1,1,3, 4, 5, 3, 4,5,6, 4,3,2,2,1,1,2,97,4,6
   97,   97, 2250.7797, 4274.6886,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 3, 4, 0,3,4, 1,3,2,2,2,1,3, 7,3,5
   98,   98,  100.0556,    0.0000,  172.1296,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 5, 1, 4, 0,3,1, 6,3,2,1,6,6,1,96,1,1
   99,   99, 2329.5674, 4016.8476,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 5, 3, 0,4,5, 2,3,2,2,2,2,3, 3,1,2
  100,  100, 2491.4661, 4334.7466,    0.0000,2,4, 1,6,6,2,96,2,6,6,2,2,2,2,3,1,1,4,4,1,2,4, 2, 3, 1, 2,3,5, 2,1,3,3,4,2,3, 1,4,6
  101,  101, 2866.6355, 5124.7974,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,2,2,2,1,1,3,2,5,1,2,2, 3, 5, 4, 0,5,6, 2,3,1,1,1,1,2, 3,6,6
  102,  102, 5283.9772,    0.0000, 9639.9800,1,4, 1,6,6,2,96,2,6,6,2,2,2,2,1,2,3,1,3,2,1,2, 2, 5, 3, 1,3,3, 6,3,3,3,2,2,3, 1,1,1
  103,  103, 2456.4398, 4153.7756,    0.0000,2,3, 1,6,6,1,96,2,6,6,1,1,2,1,2,1,3,2,4,1,1,3, 2, 5, 1, 0,5,6, 7,3,3,2,9,9,3, 5,3,6
  104,  104, 6535.7767,    0.0000,11328.1629,1,3, 1,6,6,1,96,2,6,6,1,1,2,2,2,2,3,2,2,1,1,4, 2, 3, 1, 6,3,4, 3,1,2,2,2,2,2, 2,3,3
  105,  105, 2065.9509,    0.0000, 4928.4910,1,3, 1,6,6,1,96,2,6,6,3,2,2,2,1,3,1,1,4,1,2,3, 3, 3, 2, 2,4,4, 5,3,1,3,2,1,3, 1,3,5
  106,  106,  621.2695, 1208.2467,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 2, 3, 3, 2,5,6, 7,3,5,3,1,1,3, 6,1,2
  107,  107, 1502.5634, 2662.3115,    0.0000,2,4, 1,6,6,1,96,2,6,6,3,1,1,1,1,1,2,3,5,1,2,3, 3, 5, 4, 4,4,5, 5,3,3,1,1,1,4, 1,4,6
  108,  108,  323.0440,  662.5144,    0.0000,2,3, 1,6,6,2,96,2,6,6,1,2,2,1,3,1,1,2,4,1,1,2, 5, 5, 4, 2,3,2, 3,3,1,1,2,2,2, 5,2,6
  109,  109, 2331.8004, 5256.7857,    0.0000,2,4, 8,1,2,6,96,1,2,1,6,6,2,1,2,2,3,6,6,1,6,3, 3, 1, 5, 4,4,2, 3,3,3,2,2,2,4, 2,1,1
  110,  110,  753.2463,    0.0000, 1484.2577,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 2, 5, 4, 0,2,2, 6,3,2,2,6,6,2, 7,3,3
  111,  111, 1364.8994, 3312.1903,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 5, 6, 2,5,6, 7,3,5,3,9,9,3, 6,1,2
  112,  112,  741.0776,    0.0000, 1697.1670,1,4, 8,2,1,6,96,2,6,6,6,6,1,1,2,2,2,6,6,1,6,3, 4, 3, 1, 0,4,4, 3,3,3,2,1,2,2, 1,1,2
  113,  113, 1562.4862,    0.0000, 3979.0691,1,4, 1,6,6,1,96,2,6,6,1,2,2,2,2,3,3,1,3,1,2,4, 3, 5, 1, 4,4,5, 5,3,2,2,3,3,3, 2,3,5
  114,  114,  531.0022,  732.5820,    0.0000,2,3, 1,6,6,2,96,2,6,6,1,2,2,2,3,2,2,3,5,1,2,4, 2, 3, 1, 2,2,3, 2,3,3,3,1,2,4, 3,3,5
  115,  115,  758.7204, 1512.4396,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 3, 4, 3,4,2, 3,3,4,3,6,6,3, 2,1,1
  116,  116, 1235.5829, 2550.2899,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 3, 6, 0,5,6, 5,3,3,3,9,9,4, 3,2,6
  117,  117,  155.2638,  330.9826,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 5, 3, 4,3,1, 6,3,2,2,9,9,2, 7,1,2
  118,  118,  730.3978,    0.0000, 1373.3604,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 2, 5, 1, 2,4,3, 6,3,3,3,2,2,2, 6,1,2
  119,  119, 1946.4566,    0.0000, 4078.7289,1,3, 1,6,6,1,96,2,6,6,1,2,2,2,2,3,3,4,3,2,2,3, 1, 2, 5, 2,2,4, 7,3,3,2,2,2,4, 1,3,3
  120,  120,  181.4885,  428.8617,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 5, 1,20,1,2, 4,3,4,3,6,6,2, 7,2,2
  121,  121,  549.2769,    0.0000, 1193.6214,1,3, 1,6,6,1,96,2,6,6,2,2,3,3,3,1,3,3,3,1,2,2, 5, 5, 1, 0,4,5, 5,2,2,1,2,2,1,96,2,2
  122,  122, 1591.2508, 2963.9145,    0.0000,2,3, 1,6,6,2,96,2,6,6,1,2,2,1,1,2,2,2,4,1,1,2, 3, 3, 3, 0,4,4, 5,3,3,3,1,1,3, 1,3,6
  123,  123,  275.7823,  578.9422,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 5, 3, 0,5,6, 7,3,4,4,6,6,2,97,1,1
  124,  124,  271.6876,  505.2118,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 6,96,96,96,6,6, 6,3,2,3,6,6,2, 7,1,1
  125,  125,  685.7936,    0.0000, 1457.3396,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 5, 6, 3, 1,4,2, 2,3,2,2,6,6,1,96,2,2
  126,  126, 1296.6223,    0.0000, 2558.2301,1,4, 1,6,6,3,96,2,6,6,3,3,3,3,4,5,1,3,3,1,2,4, 2, 1, 1, 2,7,6, 4,1,4,3,2,3,4, 1,3,4
  127,  127, 2913.3821, 4982.5354,    0.0000,2,2, 1,6,6,1,96,2,6,6,1,2,1,1,1,1,5,1,1,2,1,3, 2, 3, 1, 1,5,6, 7,3,5,1,9,9,1,96,1,4
  128,  128,  784.2828, 1733.6513,    0.0000,2,3, 8,2,6,1,96,2,6,6,2,1,2,2,2,2,3,1,3,1,1,4, 2, 5, 1,10,5,6, 3,3,3,4,6,6,3, 5,5,5
