CASEID,recid,wght_per,wght_csp,wght_snt,spltsmpl,whw120gr,whw_230,whw_240,jsr_01gr,jsr_02,jsr_03,jsr_04,jsr_05,jsr_06,jsr_07,jsr_08,jsr_09,jsr_10,wir_01,wir_02,wir_03,wir_04,wir_05,wir_06,wir_07,heh_01,heh_02,heh_03,heh_04,heh_09,heh_10,heh_11,drr_110,smk_05,srh_110,srh_115,fam_03,fam_04,smg_01,smg_02,ttlincg2,famincg2
 2202, 2202,  316.3662,    0.0000, 1447.1951,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 5, 5, 3, 0,7,6, 6,2,3,2,6,6,3, 7,1,1
 2203, 2203, 1762.5130, 3540.6350,    0.0000,2,3, 1,6,6,1,96,2,6,6,2,2,2,2,2,2,2,1,2,1,2,5, 3, 5, 1, 2,4,5, 6,1,3,3,2,2,4, 2,4,6
 2204, 2204, 1818.4739,    0.0000, 6326.7336,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 5, 4, 2,3,3, 6,3,3,3,2,2,4, 3,2,2
 2205, 2205, 2589.5661,    0.0000, 6127.0837,1,3, 1,6,6,1,96,1,5,3,1,1,2,1,2,2,3,3,4,1,1,4, 3, 3, 4, 4,5,6, 4,3,4,4,2,2,4, 4,2,3
 2206, 2206, 1605.3661,    0.0000, 4186.6300,1,1, 8,2,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 2, 3, 1, 0,5,6, 6,3,2,2,2,1,1,96,2,3
 2207, 2207, 2097.3677,    0.0000, 3534.9576,1,4, 1,6,6,3,96,2,6,6,3,3,3,2,2,2,2,3,3,1,1,2, 3, 4, 3, 0,4,4, 4,3,2,2,3,3,3, 1,6,6
 2208, 2208, 1155.5933,    0.0000, 2885.7301,1,1, 8,1,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 2, 3, 1, 0,4,5, 3,3,3,2,6,6,3, 7,1,1
 2209, 2209, 1002.6543,    0.0000, 1874.4105,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 6,96,96,96,6,6, 6,3,2,2,6,6,1,96,2,2
 2210, 2210, 1289.6668,    0.0000, 2991.3434,1,3, 1,6,6,1,96,2,6,6,1,1,1,1,1,1,2,2,3,1,2,3, 3, 3, 1, 5,4,4, 5,3,3,3,2,1,3, 1,6,6
 2211, 2211, 3500.5227,    0.0000, 8620.3133,1,3, 4,2,6,2,96,7,6,6,2,2,3,3,3,1,2,2,4,1,2,2, 4, 5, 3, 1,1,2, 4,3,2,2,2,2,3, 1,3,5
